YEAR,MO,DY,HR,UV,Tem,Hum
2018,1,15,2,0,22.51,87.31
2018,1,15,3,0,22.06,87.75
2018,1,15,4,0,21.72,87.75
2018,1,15,5,0,21.48,87.5
2018,1,15,6,0.02,21.96,84.25
2018,1,15,7,0.35,24.15,71.88
2018,1,15,8,1.8,26.4,62.94
2018,1,15,9,3.8,28.03,57.94
2018,1,15,10,6.9,29.2,54.62
2018,1,15,11,7.2,29.86,52.62
2018,1,15,12,7.02,30.11,52.12
2018,1,15,13,5.9,30.02,52.56
2018,1,15,14,3.95,29.95,53.06
2018,1,15,15,1.75,29.75,53.94
2018,1,15,16,0.42,29.12,57.94
2018,1,15,17,0.02,27.22,71.69
2018,1,15,18,0,25.8,76.69
2018,1,15,19,0,25.15,78.75
2018,1,15,20,0,24.63,82.12
2018,1,15,21,0,24.15,86.06
2018,1,15,22,0,23.74,89.81
2018,1,15,23,0,23.55,91.56
2018,1,16,0,0,23.52,91.56
2018,1,16,1,0,23.43,91.5
2018,1,16,2,0,23.21,92
2018,1,16,3,0,22.84,93
2018,1,16,4,0,22.58,93.56
2018,1,16,5,0,22.54,92.88
2018,1,16,6,0.02,22.89,91.81
2018,1,16,7,0.45,24.56,81.19
2018,1,16,8,1.98,26.63,70.94
2018,1,16,9,4.38,28.6,64.19
2018,1,16,10,6.33,30.08,59
2018,1,16,11,6.58,30.85,55.81
2018,1,16,12,6.9,31.3,53.62
2018,1,16,13,6.58,31.39,52.44
2018,1,16,14,4,31.01,52.88
2018,1,16,15,1.83,30.42,54.81
2018,1,16,16,0.45,29.8,58.94
2018,1,16,17,0.02,28.09,71.88
2018,1,16,18,0,26.65,76.12
2018,1,16,19,0,25.92,77.88
2018,1,16,20,0,25.3,80.94
2018,1,16,21,0,24.74,84.62
2018,1,16,22,0,24.3,88.19
2018,1,16,23,0,23.9,91.44
2018,1,17,0,0,23.55,94.06
2018,1,17,1,0,23.29,95.75
2018,1,17,2,0,23.1,96.75
2018,1,17,3,0,23.04,96.88
2018,1,17,4,0,22.93,97.12
2018,1,17,5,0,22.79,97.62
2018,1,17,6,0.02,23.25,95.62
2018,1,17,7,0.35,25.44,80.69
2018,1,17,8,1.5,27.69,66.56
2018,1,17,9,3.55,29.54,57.69
2018,1,17,10,6.08,31.02,51.25
2018,1,17,11,6.45,32.08,46.44
2018,1,17,12,6.67,32.8,43.06
2018,1,17,13,6.52,33.1,40.94
2018,1,17,14,4.12,33.03,40.19
2018,1,17,15,1.88,32.48,40.94
2018,1,17,16,0.45,31.42,44.81
2018,1,17,17,0.02,28.62,62.31
2018,1,17,18,0,26.77,69.31
2018,1,17,19,0,25.88,73.44
2018,1,17,20,0,25.19,78.75
